source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.984384
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.931050
DINOv3+HRDecoder,f1/Utility,0.842953
DINOv3+HRDecoder,f1/Water_Body,0.975486
DINOv3+HRDecoder,f1/background,0.981705
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.969248
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.870997
DINOv3+HRDecoder,iou/Utility,0.728538
DINOv3+HRDecoder,iou/Water_Body,0.952145
DINOv3+HRDecoder,iou/background,0.964068
DINOv3+HRDecoder,mF1,0.673654
DINOv3+HRDecoder,mIoU,0.640714
DINOv3+HRDecoder,mPrecision,0.675982
DINOv3+HRDecoder,mRecall,0.671589
DINOv3+HRDecoder,overall_accuracy,0.979255
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.985483
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.918342
DINOv3+HRDecoder,precision/Utility,0.868579
DINOv3+HRDecoder,precision/Water_Body,0.977288
DINOv3+HRDecoder,precision/background,0.982179
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.983287
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.944117
DINOv3+HRDecoder,recall/Utility,0.818796
DINOv3+HRDecoder,recall/Water_Body,0.973691
DINOv3+HRDecoder,recall/background,0.981232
