source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.982386
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.944386
DINOv3+HRDecoder,f1/Utility,0.831332
DINOv3+HRDecoder,f1/Water_Body,0.985957
DINOv3+HRDecoder,f1/background,0.987893
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.965383
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.894633
DINOv3+HRDecoder,iou/Utility,0.711351
DINOv3+HRDecoder,iou/Water_Body,0.972304
DINOv3+HRDecoder,iou/background,0.976076
DINOv3+HRDecoder,mF1,0.675994
DINOv3+HRDecoder,mIoU,0.645678
DINOv3+HRDecoder,mPrecision,0.680021
DINOv3+HRDecoder,mRecall,0.672334
DINOv3+HRDecoder,overall_accuracy,0.982186
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.984055
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.935061
DINOv3+HRDecoder,precision/Utility,0.863808
DINOv3+HRDecoder,precision/Water_Body,0.989257
DINOv3+HRDecoder,precision/background,0.987963
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.980724
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.953900
DINOv3+HRDecoder,recall/Utility,0.801210
DINOv3+HRDecoder,recall/Water_Body,0.982680
DINOv3+HRDecoder,recall/background,0.987824
