source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.977402
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.942299
DINOv3+HRDecoder,f1/Utility,0.853355
DINOv3+HRDecoder,f1/Water_Body,0.961897
DINOv3+HRDecoder,f1/background,0.988418
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.955803
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.890895
DINOv3+HRDecoder,iou/Utility,0.744220
DINOv3+HRDecoder,iou/Water_Body,0.926592
DINOv3+HRDecoder,iou/background,0.977102
DINOv3+HRDecoder,mF1,0.674767
DINOv3+HRDecoder,mIoU,0.642087
DINOv3+HRDecoder,mPrecision,0.677062
DINOv3+HRDecoder,mRecall,0.672597
DINOv3+HRDecoder,overall_accuracy,0.982391
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.978857
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.933866
DINOv3+HRDecoder,precision/Utility,0.870113
DINOv3+HRDecoder,precision/Water_Body,0.967946
DINOv3+HRDecoder,precision/background,0.988654
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.975952
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.950887
DINOv3+HRDecoder,recall/Utility,0.837232
DINOv3+HRDecoder,recall/Water_Body,0.955924
DINOv3+HRDecoder,recall/background,0.988183
