source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.967982
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.960981
DINOv3+HRDecoder,f1/Utility,0.878302
DINOv3+HRDecoder,f1/Water_Body,0.965271
DINOv3+HRDecoder,f1/background,0.992798
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.937952
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.924894
DINOv3+HRDecoder,iou/Utility,0.783013
DINOv3+HRDecoder,iou/Water_Body,0.932874
DINOv3+HRDecoder,iou/background,0.985701
DINOv3+HRDecoder,mF1,0.680762
DINOv3+HRDecoder,mIoU,0.652062
DINOv3+HRDecoder,mPrecision,0.679028
DINOv3+HRDecoder,mRecall,0.682575
DINOv3+HRDecoder,overall_accuracy,0.987813
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.972988
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.960468
DINOv3+HRDecoder,precision/Utility,0.863937
DINOv3+HRDecoder,precision/Water_Body,0.962972
DINOv3+HRDecoder,precision/background,0.992834
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.963029
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.961496
DINOv3+HRDecoder,recall/Utility,0.893155
DINOv3+HRDecoder,recall/Water_Body,0.967582
DINOv3+HRDecoder,recall/background,0.992764
