source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.970695
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.933294
DINOv3+HRDecoder,f1/Utility,0.857997
DINOv3+HRDecoder,f1/Water_Body,0.989861
DINOv3+HRDecoder,f1/background,0.989653
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.943060
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.874932
DINOv3+HRDecoder,iou/Utility,0.751310
DINOv3+HRDecoder,iou/Water_Body,0.979926
DINOv3+HRDecoder,iou/background,0.979520
DINOv3+HRDecoder,mF1,0.677357
DINOv3+HRDecoder,mIoU,0.646964
DINOv3+HRDecoder,mPrecision,0.681587
DINOv3+HRDecoder,mRecall,0.673681
DINOv3+HRDecoder,overall_accuracy,0.984033
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.973788
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.920174
DINOv3+HRDecoder,precision/Utility,0.898345
DINOv3+HRDecoder,precision/Water_Body,0.989158
DINOv3+HRDecoder,precision/background,0.989643
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.967623
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.946795
DINOv3+HRDecoder,recall/Utility,0.821120
DINOv3+HRDecoder,recall/Water_Body,0.990565
DINOv3+HRDecoder,recall/background,0.989665
