source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.969469
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.921187
DINOv3+HRDecoder,f1/Utility,0.865654
DINOv3+HRDecoder,f1/Water_Body,0.985057
DINOv3+HRDecoder,f1/background,0.985706
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.940748
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.853890
DINOv3+HRDecoder,iou/Utility,0.763132
DINOv3+HRDecoder,iou/Water_Body,0.970555
DINOv3+HRDecoder,iou/background,0.971815
DINOv3+HRDecoder,mF1,0.675296
DINOv3+HRDecoder,mIoU,0.642877
DINOv3+HRDecoder,mPrecision,0.676608
DINOv3+HRDecoder,mRecall,0.674067
DINOv3+HRDecoder,overall_accuracy,0.979363
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.972219
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.911014
DINOv3+HRDecoder,precision/Utility,0.874424
DINOv3+HRDecoder,precision/Water_Body,0.993927
DINOv3+HRDecoder,precision/background,0.984675
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.966735
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.931591
DINOv3+HRDecoder,recall/Utility,0.857060
DINOv3+HRDecoder,recall/Water_Body,0.976345
DINOv3+HRDecoder,recall/background,0.986740
