source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.965070
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.914669
DINOv3+HRDecoder,f1/Utility,0.887778
DINOv3+HRDecoder,f1/Water_Body,0.985106
DINOv3+HRDecoder,f1/background,0.991740
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.932498
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.842757
DINOv3+HRDecoder,iou/Utility,0.798203
DINOv3+HRDecoder,iou/Water_Body,0.970649
DINOv3+HRDecoder,iou/background,0.983616
DINOv3+HRDecoder,mF1,0.677766
DINOv3+HRDecoder,mIoU,0.646818
DINOv3+HRDecoder,mPrecision,0.676023
DINOv3+HRDecoder,mRecall,0.679673
DINOv3+HRDecoder,overall_accuracy,0.986792
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.970158
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.893055
DINOv3+HRDecoder,precision/Utility,0.890431
DINOv3+HRDecoder,precision/Water_Body,0.986393
DINOv3+HRDecoder,precision/background,0.992123
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.960035
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.937357
DINOv3+HRDecoder,recall/Utility,0.885142
DINOv3+HRDecoder,recall/Water_Body,0.983822
DINOv3+HRDecoder,recall/background,0.991358
