source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.978219
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.945306
DINOv3+HRDecoder,f1/Utility,0.887453
DINOv3+HRDecoder,f1/Water_Body,0.962611
DINOv3+HRDecoder,f1/background,0.989487
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.957367
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.896286
DINOv3+HRDecoder,iou/Utility,0.797677
DINOv3+HRDecoder,iou/Water_Body,0.927917
DINOv3+HRDecoder,iou/background,0.979195
DINOv3+HRDecoder,mF1,0.680439
DINOv3+HRDecoder,mIoU,0.651206
DINOv3+HRDecoder,mPrecision,0.682011
DINOv3+HRDecoder,mRecall,0.678923
DINOv3+HRDecoder,overall_accuracy,0.983552
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.980193
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.938993
DINOv3+HRDecoder,precision/Utility,0.897620
DINOv3+HRDecoder,precision/Water_Body,0.968145
DINOv3+HRDecoder,precision/background,0.989127
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.976253
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.951706
DINOv3+HRDecoder,recall/Utility,0.877514
DINOv3+HRDecoder,recall/Water_Body,0.957140
DINOv3+HRDecoder,recall/background,0.989849
