source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.964189
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.921571
DINOv3+HRDecoder,f1/Utility,0.891057
DINOv3+HRDecoder,f1/Water_Body,0.976851
DINOv3+HRDecoder,f1/background,0.994264
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.930855
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.854550
DINOv3+HRDecoder,iou/Utility,0.803520
DINOv3+HRDecoder,iou/Water_Body,0.954751
DINOv3+HRDecoder,iou/background,0.988594
DINOv3+HRDecoder,mF1,0.678276
DINOv3+HRDecoder,mIoU,0.647467
DINOv3+HRDecoder,mPrecision,0.682429
DINOv3+HRDecoder,mRecall,0.674496
DINOv3+HRDecoder,overall_accuracy,0.989737
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.970305
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.908702
DINOv3+HRDecoder,precision/Utility,0.922907
DINOv3+HRDecoder,precision/Water_Body,0.980816
DINOv3+HRDecoder,precision/background,0.994270
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.958151
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.934810
DINOv3+HRDecoder,recall/Utility,0.861333
DINOv3+HRDecoder,recall/Water_Body,0.972920
DINOv3+HRDecoder,recall/background,0.994259
