source,metric,value
DINOv3+HRDecoder,f1/Bridge,0.000000
DINOv3+HRDecoder,f1/Built_Up_Area,0.978415
DINOv3+HRDecoder,f1/Railway,0.000000
DINOv3+HRDecoder,f1/Road,0.938702
DINOv3+HRDecoder,f1/Utility,0.870337
DINOv3+HRDecoder,f1/Water_Body,0.987451
DINOv3+HRDecoder,f1/background,0.984398
DINOv3+HRDecoder,iou/Bridge,0.000000
DINOv3+HRDecoder,iou/Built_Up_Area,0.957743
DINOv3+HRDecoder,iou/Railway,0.000000
DINOv3+HRDecoder,iou/Road,0.884486
DINOv3+HRDecoder,iou/Utility,0.770440
DINOv3+HRDecoder,iou/Water_Body,0.975215
DINOv3+HRDecoder,iou/background,0.969276
DINOv3+HRDecoder,mF1,0.679901
DINOv3+HRDecoder,mIoU,0.651023
DINOv3+HRDecoder,mPrecision,0.681083
DINOv3+HRDecoder,mRecall,0.678774
DINOv3+HRDecoder,overall_accuracy,0.979359
DINOv3+HRDecoder,precision/Bridge,0.000000
DINOv3+HRDecoder,precision/Built_Up_Area,0.980148
DINOv3+HRDecoder,precision/Railway,0.000000
DINOv3+HRDecoder,precision/Road,0.932205
DINOv3+HRDecoder,precision/Utility,0.881530
DINOv3+HRDecoder,precision/Water_Body,0.989466
DINOv3+HRDecoder,precision/background,0.984235
DINOv3+HRDecoder,recall/Bridge,0.000000
DINOv3+HRDecoder,recall/Built_Up_Area,0.976689
DINOv3+HRDecoder,recall/Railway,0.000000
DINOv3+HRDecoder,recall/Road,0.945292
DINOv3+HRDecoder,recall/Utility,0.859426
DINOv3+HRDecoder,recall/Water_Body,0.985446
DINOv3+HRDecoder,recall/background,0.984562
