dataset,mIoU,mF1,mPrecision,mRecall,overall_accuracy
28996_NADALA_ORTHO,0.640714,0.673654,0.675982,0.671589,0.979255
37458_fattu_bhila_ortho_3857,0.645678,0.675994,0.680021,0.672334,0.982186
37774_bagga ortho_3857,0.642087,0.674767,0.677062,0.672597,0.982391
BADETUMNAR_450157_BANGAPAL_450155_CHHOTETUMAR_450149_MOFALNAR_450150_ORTHO,0.652062,0.680762,0.679028,0.682575,0.987813
KURTU_451189_AAKLANKA_451163_ORTHO_3857,0.646964,0.677357,0.681587,0.673681,0.984033
MURDANDA_450879_AWAPALLI_CHINTAKONTA_ORTHO,0.642877,0.675296,0.676608,0.674067,0.979363
NAGUL_450171_MADASE_450172_GHOTPAL_450137_ORTHO,0.646818,0.677766,0.676023,0.679673,0.986792
PINDORI MAYA SINGH-TUGALWAL_28456_ortho,0.651206,0.680439,0.682011,0.678923,0.983552
SAMLUR_450163_SIYANAR_450164_KUTULNAR_450165_BINJAM_450166_JHODIYAWADAM_450167_ORTHO,0.647467,0.678276,0.682429,0.674496,0.989737
TIMMOWAL_37695_ORI,0.651023,0.679901,0.681083,0.678774,0.979359
